eventid,iyear,imonth,iday,nkill
197607100002,1976,7,10,0
197704110004,1977,4,11,0
197802280001,1978,2,28,0
197803120008,1978,3,12,0
197809080001,1978,9,8,0
197810270003,1978,10,27,0
197811070005,1978,11,7,0
197812220005,1978,12,22,3
197901000002,1979,1,0,13
197901310001,1979,1,31,0
197902050001,1979,2,5,0
197903240003,1979,3,24,0
197905120005,1979,5,12,0
197908040013,1979,8,4,0
197908040014,1979,8,4,0
197908040015,1979,8,4,0
197908090002,1979,8,9,0
197908090003,1979,8,9,0
197909150003,1979,9,15,0
197909170001,1979,9,17,0
197909250007,1979,9,25,7
198003170001,1980,3,17,7
198003170006,1980,3,17,0
198003170007,1980,3,17,0
198003170010,1980,3,17,0
198003240003,1980,3,24,0
198005150001,1980,5,15,0
198006230008,1980,6,23,1
198007040003,1980,7,4,0
198008180001,1980,8,18,0
198008190005,1980,8,19,0
198009050001,1980,9,5,0
198009050002,1980,9,5,8
198009050003,1980,9,5,0
198009080004,1980,9,8,0
198009120004,1980,9,12,0
198009120006,1980,9,12,0
198009160001,1980,9,16,0
198009170001,1980,9,17,1
198009190001,1980,9,19,0
198009190004,1980,9,19,0
198009190006,1980,9,19,0
198011030003,1980,11,3,0
198012210002,1980,12,21,0
198012220004,1980,12,22,0
198012280002,1980,12,28,0
198102010004,1981,2,1,3
198102030007,1981,2,3,0
198102050004,1981,2,5,0
198103280003,1981,3,28,0
198103280004,1981,3,28,0
198104210002,1981,4,21,0
198105010013,1981,5,1,4
198105020001,1981,5,2,7
198105080007,1981,5,8,0
198105210007,1981,5,21,0
198105220001,1981,5,22,5
198106010005,1981,6,1,0
198106040002,1981,6,4,0
198106050006,1981,6,5,6
198107150003,1981,7,15,3
198108130004,1981,8,13,0
198108130007,1981,8,13,0
198108260004,1981,8,26,0
198109120003,1981,9,12,0
198110240001,1981,10,24,0
198111010001,1981,11,1,0
198111150005,1981,11,15,0
198111250007,1981,11,25,0
198111300007,1981,11,30,0
198201190004,1982,1,19,0
198205160003,1982,5,16,0
198205200006,1982,5,20,8
198205250004,1982,5,25,0
198205310002,1982,5,31,0
198206120001,1982,6,12,0
198206120002,1982,6,12,0
198207280001,1982,7,28,0
198209020001,1982,9,2,0
198211060003,1982,11,6,0
198211070001,1982,11,7,1
198211130001,1982,11,13,0
198211190002,1982,11,19,0
198211280004,1982,11,28,6
198212290003,1982,12,29,8
198301010029,1983,1,1,4
198301160010,1983,1,16,1
198301220001,1983,1,22,0
198301220002,1983,1,22,0
198303190003,1983,3,19,1
198307180006,1983,7,18,0
198308080006,1983,8,8,0
198308250007,1983,8,25,0
198309290002,1983,9,29,0
198311060002,1983,11,6,2
198311140003,1983,11,14,0
198311140009,1983,11,14,0
198401200002,1984,1,20,0
198401210001,1984,1,21,0
198402040003,1984,2,4,0
198403230006,1984,3,23,0
198405210007,1984,5,21,0
198405210008,1984,5,21,0
198406130002,1984,6,13,0
198407240002,1984,7,24,0
198408250013,1984,8,25,0
198411130014,1984,11,13,0
198411260003,1984,11,26,0
198411270006,1984,11,27,0
198501100003,1985,1,10,0
198503090002,1985,3,9,0
198503130005,1985,3,13,2
198505080001,1985,5,8,0
198505080006,1985,5,8,0
198505080010,1985,5,8,0
198505160003,1985,5,16,0
198505160005,1985,5,16,0
198505160008,1985,5,16,0
198505160012,1985,5,16,0
198505160014,1985,5,16,0
198505160021,1985,5,16,0
198505160030,1985,5,16,0
198505160033,1985,5,16,0
198505160038,1985,5,16,0
198506100006,1985,6,10,0
198506100007,1985,6,10,0
198506100008,1985,6,10,0
198506100014,1985,6,10,0
198506100021,1985,6,10,0
198507170003,1985,7,17,0
198507170005,1985,7,17,0
198507170006,1985,7,17,0
198507170013,1985,7,17,0
198507230007,1985,7,23,10
198508130022,1985,8,13,2
198508150007,1985,8,15,2
198508260004,1985,8,26,2
198509170008,1985,9,17,2
198510090004,1985,10,9,0
198510230008,1985,10,23,4
198601220007,1986,1,22,0
198601220012,1986,1,22,0
198601220015,1986,1,22,0
198601220017,1986,1,22,0
198601220018,1986,1,22,0
198603160008,1986,3,16,0
198603170003,1986,3,17,0
198604010028,1986,4,1,0
198604010030,1986,4,1,0
198605130008,1986,5,13,0
198609130004,1986,9,13,0
198611150001,1986,11,15,0
198611150004,1986,11,15,0
198701060001,1987,1,6,0
198704060009,1987,4,6,0
198705210001,1987,5,21,0
198705220001,1987,5,22,4
198706040004,1987,6,4,0
198706040008,1987,6,4,0
198706110001,1987,6,11,0
198707130016,1987,7,13,1
198707210003,1987,7,21,0
198707210005,1987,7,21,0
198707210009,1987,7,21,0
198707210011,1987,7,21,0
198707210013,1987,7,21,0
198707210019,1987,7,21,0
198707210022,1987,7,21,0
198707230001,1987,7,23,0
198707230003,1987,7,23,0
198707260005,1987,7,26,0
198708100001,1987,8,10,0
198708220001,1987,8,22,0
198710100002,1987,10,10,0
198710220008,1987,10,22,0
198711020003,1987,11,2,0
198711020004,1987,11,2,0
198711020006,1987,11,2,0
198711060006,1987,11,6,0
198711070007,1987,11,7,0
198711070010,1987,11,7,0
198711170002,1987,11,17,0
198711190012,1987,11,19,0
198711190014,1987,11,19,0
198711190020,1987,11,19,0
198711190034,1987,11,19,0
198712060002,1987,12,6,0
198801040006,1988,1,4,0
198801040007,1988,1,4,0
198802110003,1988,2,11,0
198802150007,1988,2,15,0
198802190007,1988,2,19,0
198802190008,1988,2,19,0
198802230010,1988,2,23,0
198802240011,1988,2,24,0
198803120001,1988,3,12,0
198803150004,1988,3,15,0
198804060002,1988,4,6,0
198804220004,1988,4,22,0
198804300001,1988,4,30,1
198805030002,1988,5,3,0
198805030004,1988,5,3,0
198805030010,1988,5,3,0
198806130006,1988,6,13,0
198806130009,1988,6,13,0
198806130010,1988,6,13,0
198807020011,1988,7,2,0
198807020017,1988,7,2,0
198807020020,1988,7,2,0
198807020023,1988,7,2,0
198807020024,1988,7,2,0
198810040011,1988,10,4,0
198810190002,1988,10,19,0
198811220004,1988,11,22,0
198812040002,1988,12,4,0
198812060008,1988,12,6,0
198812080002,1988,12,8,0
198812090001,1988,12,9,0
198812160004,1988,12,16,0
198812200001,1988,12,20,0
198901120006,1989,1,12,0
198901150010,1989,1,15,0
198901170012,1989,1,17,0
198902150010,1989,2,15,0
198902170014,1989,2,17,0
198904040006,1989,4,4,0
198904040010,1989,4,4,0
198904050010,1989,4,5,0
198905210005,1989,5,21,0
198905220012,1989,5,22,0
198906240001,1989,6,24,3
198907280008,1989,7,28,0
198907300006,1989,7,30,0
198907300009,1989,7,30,0
198907300010,1989,7,30,0
198908100008,1989,8,10,0
198908120006,1989,8,12,0
198909090018,1989,9,9,0
198910310013,1989,10,31,10
198911260003,1989,11,26,0
